speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
cangoo,Canada Goose,Branta canadensis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,2.0,39.8893501,-75.2601457,True,False,False,S316097236,
buwtea,Blue-winged Teal,Spatula discors,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,3.0,39.8893501,-75.2601457,True,False,False,S316097236,
norsho,Northern Shoveler,Spatula clypeata,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,22.0,39.8893501,-75.2601457,True,False,False,S316097236,
mallar3,Mallard,Anas platyrhynchos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,14.0,39.8893501,-75.2601457,True,False,False,S316097236,
ambduc,American Black Duck,Anas rubripes,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,7.0,39.8893501,-75.2601457,True,False,False,S316097236,
norpin,Northern Pintail,Anas acuta,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,4.0,39.8893501,-75.2601457,True,False,False,S316097236,
gnwtea,Green-winged Teal,Anas crecca,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,150.0,39.8893501,-75.2601457,True,True,False,S316097236,
killde,Killdeer,Charadrius vociferus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,2.0,39.8893501,-75.2601457,True,False,False,S316097236,
greyel,Greater Yellowlegs,Tringa melanoleuca,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,2.0,39.8893501,-75.2601457,True,False,False,S316097236,
pecsan,Pectoral Sandpiper,Calidris melanotos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,1.0,39.8893501,-75.2601457,True,True,False,S316097236,
ribgul,Ring-billed Gull,Larus delawarensis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,4.0,39.8893501,-75.2601457,True,False,False,S316097236,
osprey,Osprey,Pandion haliaetus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,2.0,39.8893501,-75.2601457,True,False,False,S316097236,
baleag,Bald Eagle,Haliaeetus leucocephalus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,3.0,39.8893501,-75.2601457,True,False,False,S316097236,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,2.0,39.8893501,-75.2601457,True,False,False,S316097236,
dowwoo,Downy Woodpecker,Dryobates pubescens,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,3.0,39.8893501,-75.2601457,True,False,False,S316097236,
norfli,Northern Flicker,Colaptes auratus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,3.0,39.8893501,-75.2601457,True,False,False,S316097236,
amecro,American Crow,Corvus brachyrhynchos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,4.0,39.8893501,-75.2601457,True,False,False,S316097236,
fiscro,Fish Crow,Corvus ossifragus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,7.0,39.8893501,-75.2601457,True,False,False,S316097236,
tuftit,Tufted Titmouse,Baeolophus bicolor,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,1.0,39.8893501,-75.2601457,True,False,False,S316097236,
treswa,Tree Swallow,Tachycineta bicolor,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,2.0,39.8893501,-75.2601457,True,False,False,S316097236,
carwre,Carolina Wren,Thryothorus ludovicianus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,1.0,39.8893501,-75.2601457,True,False,False,S316097236,
amerob,American Robin,Turdus migratorius,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,5.0,39.8893501,-75.2601457,True,False,False,S316097236,
amegfi,American Goldfinch,Spinus tristis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,4.0,39.8893501,-75.2601457,True,False,False,S316097236,
whtspa,White-throated Sparrow,Zonotrichia albicollis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,3.0,39.8893501,-75.2601457,True,False,False,S316097236,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,15.0,39.8893501,-75.2601457,True,False,False,S316097236,
norcar,Northern Cardinal,Cardinalis cardinalis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-02 14:33:00,4.0,39.8893501,-75.2601457,True,False,False,S316097236,
buwtea,Blue-winged Teal,Spatula discors,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
mallar3,Mallard,Anas platyrhynchos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,6.0,39.8893501,-75.2601457,True,False,False,S316513544,
gnwtea,Green-winged Teal,Anas crecca,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,24.0,39.8893501,-75.2601457,True,False,False,S316513544,
moudov,Mourning Dove,Zenaida macroura,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,2.0,39.8893501,-75.2601457,True,False,False,S316513544,
killde,Killdeer,Charadrius vociferus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
greyel,Greater Yellowlegs,Tringa melanoleuca,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
osprey,Osprey,Pandion haliaetus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
dowwoo,Downy Woodpecker,Dryobates pubescens,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
haiwoo,Hairy Woodpecker,Leuconotopicus villosus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
norfli,Northern Flicker,Colaptes auratus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
amecro,American Crow,Corvus brachyrhynchos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,7.0,39.8893501,-75.2601457,True,False,False,S316513544,
fiscro,Fish Crow,Corvus ossifragus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
treswa,Tree Swallow,Tachycineta bicolor,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,12.0,39.8893501,-75.2601457,True,False,False,S316513544,
carwre,Carolina Wren,Thryothorus ludovicianus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-04-03 16:59:00,1.0,39.8893501,-75.2601457,True,False,False,S316513544,
