speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
cangoo,Canada Goose,Branta canadensis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,130.0,39.8893501,-75.2601457,True,False,False,S305097740,
mallar3,Mallard,Anas platyrhynchos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,17.0,39.8893501,-75.2601457,True,False,False,S305097740,
amhgul1,American Herring Gull,Larus smithsonianus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,105.0,39.8893501,-75.2601457,True,False,False,S305097740,
turvul,Turkey Vulture,Cathartes aura,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,1.0,39.8893501,-75.2601457,True,False,False,S305097740,
amecro,American Crow,Corvus brachyrhynchos,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,4.0,39.8893501,-75.2601457,True,False,False,S305097740,
fiscro,Fish Crow,Corvus ossifragus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,10.0,39.8893501,-75.2601457,True,False,False,S305097740,
carwre,Carolina Wren,Thryothorus ludovicianus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,2.0,39.8893501,-75.2601457,True,False,False,S305097740,
amerob,American Robin,Turdus migratorius,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,4.0,39.8893501,-75.2601457,True,False,False,S305097740,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,2.0,39.8893501,-75.2601457,True,False,False,S305097740,
norcar,Northern Cardinal,Cardinalis cardinalis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 14:41:00,2.0,39.8893501,-75.2601457,True,False,False,S305097740,
norsho,Northern Shoveler,Spatula clypeata,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,20.0,39.8893501,-75.2601457,True,False,False,S305102606,
gadwal,Gadwall,Mareca strepera,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,40.0,39.8893501,-75.2601457,True,False,False,S305102606,
amewig,American Wigeon,Mareca americana,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,20.0,39.8893501,-75.2601457,True,False,False,S305102606,
ambduc,American Black Duck,Anas rubripes,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,15.0,39.8893501,-75.2601457,True,False,False,S305102606,
x00004,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,1.0,39.8893501,-75.2601457,True,False,False,S305102606,
norpin,Northern Pintail,Anas acuta,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,400.0,39.8893501,-75.2601457,True,True,False,S305102606,
gnwtea,Green-winged Teal,Anas crecca,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,7.0,39.8893501,-75.2601457,True,False,False,S305102606,
ribgul,Ring-billed Gull,Larus delawarensis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,120.0,39.8893501,-75.2601457,True,False,False,S305102606,
gbbgul,Great Black-backed Gull,Larus marinus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,1.0,39.8893501,-75.2601457,True,False,False,S305102606,
dowwoo,Downy Woodpecker,Dryobates pubescens,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,2.0,39.8893501,-75.2601457,True,False,False,S305102606,
norfli,Northern Flicker,Colaptes auratus,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,1.0,39.8893501,-75.2601457,True,False,False,S305102606,
blujay,Blue Jay,Cyanocitta cristata,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,1.0,39.8893501,-75.2601457,True,False,False,S305102606,
carchi,Carolina Chickadee,Poecile carolinensis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,1.0,39.8893501,-75.2601457,True,False,False,S305102606,
tuftit,Tufted Titmouse,Baeolophus bicolor,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,1.0,39.8893501,-75.2601457,True,False,False,S305102606,
whtspa,White-throated Sparrow,Zonotrichia albicollis,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,3.0,39.8893501,-75.2601457,True,False,False,S305102606,
sonspa,Song Sparrow,Melospiza melodia,L504403,John Heinz NWR--impoundment (Philadelphia Co.),2026-03-01 12:17:00,2.0,39.8893501,-75.2601457,True,False,False,S305102606,
