speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
cangoo,Canada Goose,Branta canadensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,6.0,39.9027901,-75.1819754,True,False,False,S351160001,
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
chiswi,Chimney Swift,Chaetura pelagica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,6.0,39.9027901,-75.1819754,True,False,False,S351160001,
doccor,Double-crested Cormorant,Nannopterum auritum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
turvul,Turkey Vulture,Cathartes aura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,2.0,39.9027901,-75.1819754,True,False,False,S351160001,
osprey,Osprey,Pandion haliaetus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,2.0,39.9027901,-75.1819754,True,False,False,S351160001,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
norfli,Northern Flicker,Colaptes auratus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,1.0,39.9027901,-75.1819754,True,False,False,S351160001,
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,2.0,39.9027901,-75.1819754,True,False,False,S351160001,
blujay,Blue Jay,Cyanocitta cristata,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,2.0,39.9027901,-75.1819754,True,False,False,S351160001,
amecro,American Crow,Corvus brachyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,2.0,39.9027901,-75.1819754,True,False,False,S351160001,
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-01 15:40:00,5.0,39.9027901,-75.1819754,True,False,False,S351160001,
