speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 08:36,1,39.8876082,-75.1659143,True,False,False,S366547843,
cangoo,Canada Goose,Branta canadensis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,78,39.8876082,-75.1659143,True,False,False,S366595303,
rthhum,Ruby-throated Hummingbird,Archilochus colubris,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
killde,Killdeer,Charadrius vociferus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
laugul,Laughing Gull,Leucophaeus atricilla,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,4,39.8876082,-75.1659143,True,False,False,S366595303,
ribgul,Ring-billed Gull,Larus delawarensis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,8,39.8876082,-75.1659143,True,False,False,S366595303,
comloo,Common Loon,Gavia immer,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,True,False,S366595303,
doccor,Double-crested Cormorant,Nannopterum auritum,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,9,39.8876082,-75.1659143,True,False,False,S366595303,
turvul,Turkey Vulture,Cathartes aura,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,3,39.8876082,-75.1659143,True,False,False,S366595303,
osprey,Osprey,Pandion haliaetus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,7,39.8876082,-75.1659143,True,True,False,S366595303,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
easkin,Eastern Kingbird,Tyrannus tyrannus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,3,39.8876082,-75.1659143,True,False,False,S366595303,
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
blujay,Blue Jay,Cyanocitta cristata,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
barswa,Barn Swallow,Hirundo rustica,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,7,39.8876082,-75.1659143,True,False,False,S366595303,
carwre,Carolina Wren,Thryothorus ludovicianus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
eursta,European Starling,Sturnus vulgaris,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,12,39.8876082,-75.1659143,True,False,False,S366595303,N
grycat,Gray Catbird,Dumetella carolinensis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
normoc,Northern Mockingbird,Mimus polyglottos,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
amerob,American Robin,Turdus migratorius,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,3,39.8876082,-75.1659143,True,False,False,S366595303,
houspa,House Sparrow,Passer domesticus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,10,39.8876082,-75.1659143,True,False,False,S366595303,N
houfin,House Finch,Haemorhous mexicanus,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,N
amegfi,American Goldfinch,Spinus tristis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
chispa,Chipping Sparrow,Spizella passerina,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
orcori,Orchard Oriole,Icterus spurius,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,1,39.8876082,-75.1659143,True,False,False,S366595303,
balori,Baltimore Oriole,Icterus galbula,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
bnhcow,Brown-headed Cowbird,Molothrus ater,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
comgra,Common Grackle,Quiscalus quiscula,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
norcar,Northern Cardinal,Cardinalis cardinalis,L1069194,Philadelphia Naval Yard (restricted access),2026-07-02 07:05,2,39.8876082,-75.1659143,True,False,False,S366595303,
