speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
cangoo,Canada Goose,Branta canadensis,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,2.0,40.1003152,-75.2402115,True,False,False,S222367272,
moudov,Mourning Dove,Zenaida macroura,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,1.0,40.1003152,-75.2402115,True,False,False,S222367272,
turvul,Turkey Vulture,Cathartes aura,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,4.0,40.1003152,-75.2402115,True,False,False,S222367272,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,1.0,40.1003152,-75.2402115,True,False,False,S222367272,
normoc,Northern Mockingbird,Mimus polyglottos,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,3.0,40.1003152,-75.2402115,True,False,False,S222367272,
amerob,American Robin,Turdus migratorius,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,30.0,40.1003152,-75.2402115,True,False,False,S222367272,
houspa,House Sparrow,Passer domesticus,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,5.0,40.1003152,-75.2402115,True,False,False,S222367272,N
houfin,House Finch,Haemorhous mexicanus,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,1.0,40.1003152,-75.2402115,True,False,False,S222367272,N
sonspa,Song Sparrow,Melospiza melodia,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,4.0,40.1003152,-75.2402115,True,False,False,S222367272,
swaspa,Swamp Sparrow,Melospiza georgiana,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,1.0,40.1003152,-75.2402115,True,False,False,S222367272,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L3041917,Dixon Meadow Preserve,2025-04-01 18:20,,40.1003152,-75.2402115,True,False,False,S222367272,
amekes,American Kestrel,Falco sparverius,L3041917,Dixon Meadow Preserve,2025-04-01 16:57,2.0,40.1003152,-75.2402115,True,False,False,S222353708,
merlin,Merlin,Falco columbarius,L3041917,Dixon Meadow Preserve,2025-04-01 16:57,1.0,40.1003152,-75.2402115,True,False,False,S222353708,
